w,eyedist,nosedist,area,target
122,58.9915248150105,23.0,678.4025353726207,1
122,60.991802727907626,23.979157616563597,731.2660254654253,1
122,66.97014260101288,24.919871588754223,834.4436769488999,1
122,75.97367965289031,27.92848008753788,1060.9146996813645,1
182,81.94510357550352,32.93933818400121,1349.6087395982586,1
182,89.91106717195609,38.948684188300895,1750.958880156813,1
182,111.95981421920992,44.82186966202994,2509.1241001592566,1
182,105.95753866525968,38.88444419044716,2060.0499993932185,1
182,102.95630140987001,37.881393849751625,1950.064101510512,1
182,107.95832529267949,38.948684188300895,2102.417358661215,1
273,111.92854863706577,41.0,2294.535247059848,1
182,115.9310139695155,43.95452195167182,2547.846149201321,1
273,113.92980294900892,44.98888751680797,2562.7875448425298,1
273,124.93598360760602,48.95916665957459,3058.380821611331,1
273,129.9384469662463,51.96152422706632,3375.8998800319896,1
273,132.9661611087573,51.96152422706632,3454.5622009163476,1
273,135.96690773861116,54.96362433464518,3736.617019444192,1
273,134.94072772888103,55.91958512006326,3772.914755199222,1
273,132.93983601614678,55.96427431853289,3719.9407253342083,1
273,133.94028520202576,56.859475903318,3807.8872094640624,1
273,132.93983601614678,57.92236183029832,3850.094641693889,1
273,131.9659046875366,55.91958512006326,3689.7393200604292,1
273,130.9656443499592,56.991227395100026,3731.946409047161,1
273,134.98518437221176,54.99090833947008,3711.4789504993832,1
273,136.0,54.0,3672.0,1
273,130.93891705677117,55.91958512006326,3661.0249589425093,1
273,131.75735273600483,52.99056519796708,3490.948295234405,1
273,133.8656042454521,54.0,3614.3713146272066,1
273,135.9080571562996,54.0,3669.5175432200895,1
273,135.96690773861116,53.0,3603.1230550731957,1
273,135.7645019878171,57.86190456595773,3927.796328731926,1
273,129.1317157014496,52.91502622129181,3416.5040611713025,1
273,129.1317157014496,53.96295025292817,3484.164175236294,1
273,129.0116273829611,53.96295025292817,3480.924015258018,1
273,131.90905958272918,53.85164807134504,3551.760127035608,1
273,130.31883977384084,52.53570214625479,3423.1958752020023,1
273,130.31883977384084,52.76362383309168,3438.047120095942,1
273,126.7280552995271,51.65268628057983,3272.922241667223,1
273,123.67295581492341,49.839743177508446,3081.914177909566,1
273,123.20714265009151,50.84289527554464,3132.103925478846,1
273,125.21980673998823,51.65268628057983,3233.969696827724,1
